old,new
custrecord_mp_date,custrecord_sust_mp_date
custrecord_mp_source,custrecord_sust_mp_source
custrecord_mp_price_per_lb,custrecord_sust_mp_price_per_lb
custrecord_mp_raw_rate,custrecord_sust_mp_raw_rate
custrecord_mp_raw_unit,custrecord_sust_mp_raw_unit
custrecord_mp_fetched_at,custrecord_sust_mp_fetched_at
custrecord_cs_ship_date,custrecord_sust_cs_ship_date
custrecord_cs_carrier,custrecord_sust_cs_carrier
custrecord_cs_bol_number,custrecord_sust_cs_bol_number
custrecord_cs_total_weight,custrecord_sust_cs_total_weight
custrecord_cs_total_pallets,custrecord_sust_cs_total_pallets
custrecord_cs_notes,custrecord_sust_cs_notes
custrecord_cs_status,custrecord_sust_cs_status
customrecord_nt_ship_pallet,customrecord_sust_ship_pallet
custrecord_sp_fulfillment,custrecord_sust_sp_fulfillment
custrecord_sp_pallet_num,custrecord_sust_sp_pallet_num
custrecord_sp_item,custrecord_sust_sp_item
custrecord_sp_net_weight,custrecord_sust_sp_net_weight
custrecord_sp_gross_weight,custrecord_sust_sp_gross_weight
custrecord_sp_tare_weight,custrecord_sust_sp_tare_weight
custrecord_sp_pallet_type,custrecord_sust_sp_pallet_type
custrecord_sp_notes,custrecord_sust_sp_notes
customrecord_processing_output_line,customrecord_sust_processing_output_line
custrecord_output_processing,custrecord_sust_output_processing
custrecord_output_line_number,custrecord_sust_output_line_number
custrecord_output_type,custrecord_sust_output_type
custrecord_output_item,custrecord_sust_output_item
custrecord_output_lot,custrecord_sust_output_lot
custrecord_output_weight,custrecord_sust_output_weight
custrecord_output_percentage,custrecord_sust_output_percentage
custrecord_output_disposition,custrecord_sust_output_disposition
custrecord_pol_stream,custrecord_sust_pol_stream
custrecord_pol_oxide_category,custrecord_sust_pol_oxide_category
custrecord_pol_weight_pct,custrecord_sust_pol_weight_pct
custrecord_pol_allocated_cost,custrecord_sust_pol_allocated_cost
custrecord_pol_cost_per_lb,custrecord_sust_pol_cost_per_lb
customlist_oxide_category,customlist_sust_oxide_category
custrecord_processing_po,custrecord_sust_processing_po
custrecord_proc_source_line,custrecord_sust_proc_source_line
custrecord_processing_date,custrecord_sust_processing_date
custrecord_processing_input_item,custrecord_sust_processing_input_item
custrecord_processing_input_lot,custrecord_sust_processing_input_lot
custrecord_processing_input_lbs,custrecord_sust_processing_input_lbs
custrecord_processing_type,custrecord_sust_processing_type
custrecord_processing_status,custrecord_sust_processing_status
custrecord_processing_operator,custrecord_sust_processing_operator
custrecord_processing_work_order,custrecord_sust_processing_work_order
custrecord_processing_location,custrecord_sust_processing_location
custrecord_processing_start_date,custrecord_sust_processing_start_date
custrecord_processing_end_date,custrecord_sust_processing_end_date
custrecord_processing_notes,custrecord_sust_processing_notes
custrecord_processing_settlement,custrecord_sust_processing_settlement
custrecord_proc_source_type,custrecord_sust_proc_source_type
custrecord_proc_equipment,custrecord_sust_proc_equipment
custrecord_proc_gross_input_lbs,custrecord_sust_proc_gross_input_lbs
custrecord_proc_tare_estimate_lbs,custrecord_sust_proc_tare_estimate_lbs
custrecord_proc_tare_actual_lbs,custrecord_sust_proc_tare_actual_lbs
custrecord_proc_true_net_lbs,custrecord_sust_proc_true_net_lbs
custrecord_proc_total_output_lbs,custrecord_sust_proc_total_output_lbs
custrecord_proc_mass_balance_pct,custrecord_sust_proc_mass_balance_pct
custrecord_proc_total_input_cost,custrecord_sust_proc_total_input_cost
custrecord_processing_alloc_mode,custrecord_sust_processing_alloc_mode
custrecord_proc_ia_pending,custrecord_sust_proc_ia_pending
customrecord_proc_input_line,customrecord_sust_proc_input_line
custrecord_pil_processing,custrecord_sust_pil_processing
custrecord_pil_line_number,custrecord_sust_pil_line_number
custrecord_pil_item,custrecord_sust_pil_item
custrecord_pil_lot,custrecord_sust_pil_lot
custrecord_pil_item_receipt,custrecord_sust_pil_item_receipt
custrecord_pil_qty_consumed,custrecord_sust_pil_qty_consumed
custrecord_pil_weight_pct,custrecord_sust_pil_weight_pct
custrecord_pil_input_cost,custrecord_sust_pil_input_cost
customrecord_settlement_penalty,customrecord_sust_settlement_penalty
custrecord_penalty_schedule,custrecord_sust_penalty_schedule
custrecord_penalty_element,custrecord_sust_penalty_element
custrecord_penalty_threshold,custrecord_sust_penalty_threshold
custrecord_penalty_rate,custrecord_sust_penalty_rate
custrecord_penalty_calculation,custrecord_sust_penalty_calculation
custrecord_penalty_ratio,custrecord_sust_penalty_ratio
custrecord_penalty_target_element,custrecord_sust_penalty_target_element
customlist_impurity_element,customlist_sust_impurity_element
customlist_payable_element,customlist_sust_payable_element
